epoch;best_distance;avg_best_10%;median;avg_worst_10%;avg;worst_distance;std_deviation;conflict_percentage;avgDiff;0Diff;02Diff
0;26764.089;26764.089;27778.820;28262.290;27450.919;28262.290;534.086;26.373;37.600;.000;.000
1;19834.112;19834.112;23066.251;28262.290;23275.048;28262.290;2849.626;22.059;27.450;.000;.000
2;16128.377;16128.377;22248.843;26539.631;21444.528;26539.631;3173.441;24.020;34.100;.000;.000
3;15860.949;15860.949;19834.112;23803.332;20086.681;23803.332;2644.957;25.980;34.050;.000;.000
4;15425.420;15425.420;18393.165;23166.993;18979.751;23166.993;2359.237;21.569;32.400;.000;.000
5;15425.420;15425.420;17873.777;23166.993;18700.871;23166.993;2537.986;15.588;23.050;.000;.000
6;14834.809;14834.809;17582.846;23166.993;17989.313;23166.993;2956.768;21.373;32.350;.000;.000
7;13884.940;13884.940;16885.777;21794.405;17239.886;21794.405;2721.350;19.706;29.450;.000;.000
8;13884.940;13884.940;16885.777;20424.935;16652.594;20424.935;2311.925;20.686;29.500;.000;.000
9;13582.868;13582.868;15434.983;20424.935;16166.287;20424.935;2228.245;14.118;24.000;.000;.000
0;27450.919;27450.919;30210.076;31820.735;29835.998;31820.735;1342.564;26.373;37.600;.000;.000
1;23275.048;23275.048;29331.154;31010.217;28520.681;31010.217;2236.521;22.059;27.450;.000;.000
2;21444.528;21444.528;28488.307;30163.044;27221.047;30163.044;2687.031;24.020;34.100;.000;.000
3;20086.681;20086.681;27161.282;29330.748;25667.140;29330.748;3151.226;25.980;34.050;.000;.000
4;18979.751;18979.751;24466.914;28526.437;23963.308;28526.437;3242.947;21.569;32.400;.000;.000
5;18700.871;18700.871;23205.021;27295.716;22566.237;27295.716;2674.371;15.588;23.050;.000;.000
6;17989.313;17989.313;21457.397;24466.914;21212.728;24466.914;2034.282;21.373;32.350;.000;.000
7;17239.886;17239.886;20471.775;23229.221;20192.147;23229.221;1772.194;19.706;29.450;.000;.000
8;16652.594;16652.594;19642.582;21619.783;19343.691;21619.783;1444.404;20.686;29.500;.000;.000
9;16166.287;16166.287;19001.929;20483.877;18587.552;20483.877;1363.036;14.118;24.000;.000;.000
