epoch;best_distance;avg_best_10%;median;avg_worst_10%;avg;worst_distance;std_deviation;conflict_percentage;avgDiff;0Diff;02Diff
0;26764.089;26764.089;27778.820;28262.290;27450.919;28262.290;534.086;27.941;34.850;.000;.000
1;26764.089;26764.089;27125.596;28262.290;27343.873;28262.290;538.986;23.824;32.700;.000;.000
2;26740.370;26740.370;27111.727;28262.290;27305.351;28262.290;569.238;20.588;27.650;.000;.000
3;26311.551;26311.551;27111.727;28262.290;27260.097;28262.290;631.619;21.863;30.200;.000;.000
4;26311.551;26311.551;27027.960;27991.988;27190.048;27991.988;560.312;24.020;32.750;.000;.000
5;26311.551;26311.551;27000.369;27991.988;27186.155;27991.988;561.697;16.765;23.700;.000;.000
6;26208.487;26208.487;27000.369;27991.988;27175.848;27991.988;580.169;19.314;27.100;.000;.000
7;25849.560;25849.560;26878.838;27991.988;26990.342;27991.988;649.595;10.196;17.300;.000;.000
8;25847.627;25847.627;26845.263;27874.490;26750.039;27874.490;657.685;19.314;24.950;.000;.000
9;25771.741;25771.741;26558.288;27871.377;26507.523;27871.377;733.743;19.216;21.200;.000;.000
0;27450.919;27450.919;30210.076;31820.735;29835.998;31820.735;1342.564;27.941;34.850;.000;.000
1;27343.873;27343.873;29714.038;31231.161;29428.641;31231.161;1166.341;23.824;32.700;.000;.000
2;27305.351;27305.351;29359.583;30901.716;29159.188;30901.716;1041.613;20.588;27.650;.000;.000
3;27260.097;27260.097;28967.859;30423.271;28872.638;30423.271;901.902;21.863;30.200;.000;.000
4;27190.048;27190.048;28884.968;29995.950;28597.420;29995.950;799.449;24.020;32.750;.000;.000
5;27186.155;27186.155;28536.895;29783.447;28411.664;29783.447;758.657;16.765;23.700;.000;.000
6;27175.848;27175.848;28359.027;29796.600;28189.888;29796.600;755.949;19.314;27.100;.000;.000
7;26990.342;26990.342;28047.800;29195.306;27979.637;29195.306;654.343;10.196;17.300;.000;.000
8;26750.039;26750.039;27879.023;28610.508;27712.598;28610.508;555.694;19.314;24.950;.000;.000
9;26507.523;26507.523;27704.812;28773.515;27578.614;28773.515;632.927;19.216;21.200;.000;.000
