epoch;best_distance;avg_best_10%;median;avg_worst_10%;avg;worst_distance;std_deviation;conflict_percentage;avgDiff;0Diff;02Diff
0;26764.089;26764.089;27778.820;28262.290;27450.919;28262.290;534.086;27.941;34.850;.000;.000
1;26764.089;26764.089;27125.596;28262.290;27343.873;28262.290;538.986;23.824;32.700;.000;.000
2;26740.370;26740.370;27111.727;28262.290;27305.351;28262.290;569.238;20.588;27.650;.000;.000
3;26311.551;26311.551;27111.727;28262.290;27260.097;28262.290;631.619;21.863;30.200;.000;.000
4;26311.551;26311.551;27027.960;27991.988;27190.048;27991.988;560.312;24.020;32.750;.000;.000
5;26311.551;26311.551;27000.369;27991.988;27186.155;27991.988;561.697;16.765;23.700;.000;.000
6;26208.487;26208.487;27000.369;27991.988;27175.848;27991.988;580.169;19.314;27.100;.000;.000
7;25849.560;25849.560;26878.838;27991.988;26990.342;27991.988;649.595;10.196;17.300;.000;.000
8;25847.627;25847.627;26845.263;27874.490;26750.039;27874.490;657.685;19.314;24.950;.000;.000
9;25771.741;25771.741;26558.288;27871.377;26507.523;27871.377;733.743;19.216;21.200;.000;.000
