epoch;best_distance;avg_best_10%;median;avg_worst_10%;avg;worst_distance;std_deviation;conflict_percentage;avgDiff;0Diff;02Diff
0;21671.417;21671.417;23124.997;24309.764;23016.467;24309.764;959.342;34.635;32.110;.000;.000
1;14714.853;14714.853;16580.358;17774.717;16379.279;17774.717;1063.554;34.554;32.895;.000;.000
2;12092.691;12092.691;14099.546;15588.295;13848.695;15588.295;1128.495;34.541;33.070;.000;.000
3;11460.297;11460.297;12914.262;13585.849;12623.745;13585.849;808.665;35.311;34.180;.000;.000
4;9507.363;9507.363;11467.654;12967.531;11155.357;12967.531;1107.704;33.959;33.125;.000;.000
5;9146.071;9146.071;10387.046;12448.679;10423.898;12448.679;981.299;33.676;31.765;.000;.000
6;8399.683;8399.683;9938.949;12317.889;10011.963;12317.889;1003.386;35.176;33.625;.000;.000
7;8399.683;8399.683;9631.976;11421.825;9593.921;11421.825;827.591;33.905;32.125;.000;.000
8;7885.873;7885.873;9367.665;10911.670;9249.910;10911.670;867.296;33.122;31.050;.000;.000
9;7716.928;7716.928;8771.384;9894.844;8804.848;9894.844;718.699;33.459;31.445;.000;.000
10;7716.928;7716.928;8744.502;9894.844;8627.127;9894.844;641.404;34.297;32.605;.000;.000
11;7427.039;7427.039;8194.099;9265.068;8305.532;9265.068;582.148;33.757;31.680;.000;.000
12;7416.618;7416.618;8194.099;8950.356;8226.792;8950.356;498.337;32.027;31.540;.000;.000
13;7411.917;7411.917;8030.571;8950.356;8046.121;8950.356;501.926;31.297;31.370;.000;.000
14;6828.749;6828.749;8030.571;8566.127;7838.140;8566.127;615.793;29.351;29.605;.000;.000
15;6828.749;6828.749;7595.717;8566.127;7635.396;8566.127;578.798;30.446;27.815;.000;.000
16;6828.749;6828.749;7593.988;8560.746;7575.132;8560.746;542.933;27.189;27.305;.000;.000
17;6808.201;6808.201;7593.988;8397.552;7545.569;8397.552;506.615;27.135;27.240;.000;.000
18;6808.201;6808.201;7593.988;8397.552;7545.569;8397.552;506.615;28.689;27.340;.000;.000
19;6808.201;6808.201;7593.988;8397.552;7458.703;8397.552;536.770;26.473;25.485;.000;.000
20;6808.201;6808.201;7461.379;8199.798;7390.905;8199.798;493.019;26.081;24.205;.000;.000
21;6808.201;6808.201;7461.379;8157.578;7384.156;8157.578;483.770;24.041;22.020;.000;.000
22;6808.201;6808.201;7247.020;8157.578;7355.679;8157.578;487.090;22.743;21.230;.000;.000
23;6808.201;6808.201;7179.043;8157.578;7307.142;8157.578;477.468;23.973;21.245;.000;.000
24;6808.201;6808.201;7176.606;8157.578;7273.934;8157.578;493.397;22.851;21.075;.000;.000
25;6808.201;6808.201;7176.606;8157.578;7261.597;8157.578;499.015;24.608;20.650;.000;.000
26;6808.201;6808.201;7176.606;8100.231;7255.863;8100.231;487.777;22.932;21.110;.000;.000
27;6808.201;6808.201;7176.606;8100.231;7255.863;8100.231;487.777;22.284;19.200;.000;.000
28;6808.201;6808.201;7176.606;8100.231;7255.863;8100.231;487.777;23.662;19.845;.000;.000
29;6808.201;6808.201;7176.606;8100.231;7255.863;8100.231;487.777;21.014;20.390;.000;.000
30;6808.201;6808.201;7176.606;8100.231;7255.863;8100.231;487.777;19.284;19.355;.000;.000
31;6808.201;6808.201;7176.606;8100.231;7255.863;8100.231;487.777;21.851;18.680;.000;.000
32;6808.201;6808.201;7176.606;8042.914;7185.521;8042.914;394.232;22.122;18.095;.000;.000
