epoch;best_distance;avg_best_10%;median;avg_worst_10%;avg;worst_distance;std_deviation;conflict_percentage;avgDiff;0Diff;02Diff
0;21671.417;21671.417;23124.997;24309.764;23016.467;24309.764;959.342;34.986;33.215;.000;.000
1;21671.417;21671.417;22610.032;23951.437;22682.733;23951.437;857.623;35.162;33.770;.000;.000
2;21245.769;21245.769;22313.737;23951.437;22372.745;23951.437;901.358;32.541;32.130;.000;.000
3;21008.729;21008.729;21806.864;23176.675;21817.632;23176.675;637.254;32.811;32.500;.000;.000
4;20479.127;20479.127;21245.769;21826.574;21119.456;21826.574;481.465;33.284;32.565;.000;.000
5;20163.713;20163.713;20685.267;21474.063;20816.013;21474.063;423.473;32.514;32.885;.000;.000
6;19854.022;19854.022;20659.765;21474.063;20724.353;21474.063;520.757;31.770;33.150;.000;.000
7;19741.488;19741.488;20639.884;21201.578;20538.351;21201.578;421.896;32.743;32.655;.000;.000
8;19741.488;19741.488;20449.899;20659.765;20322.122;20659.765;314.367;33.568;32.800;.000;.000
9;18406.124;18406.124;20375.652;20657.910;20028.411;20657.910;664.764;30.824;31.845;.000;.000
10;18406.124;18406.124;20163.713;20657.910;19969.795;20657.910;656.535;31.324;31.775;.000;.000
11;18406.124;18406.124;20027.297;20657.910;19797.825;20657.910;752.201;29.122;30.490;.000;.000
12;18406.124;18406.124;19518.229;20657.910;19547.140;20657.910;815.864;32.270;33.135;.000;.000
13;18406.124;18406.124;19398.098;20657.910;19520.002;20657.910;821.427;32.473;33.065;.000;.000
14;18406.124;18406.124;19398.098;20657.910;19520.002;20657.910;821.427;31.676;32.220;.000;.000
15;18111.520;18111.520;19149.322;20657.910;19371.607;20657.910;915.565;30.338;31.220;.000;.000
16;18111.520;18111.520;19090.615;20308.765;19164.530;20308.765;792.589;30.635;31.915;.000;.000
17;18111.520;18111.520;18824.077;20187.858;18972.322;20187.858;678.660;32.149;32.290;.000;.000
18;17755.510;17755.510;18824.077;20187.858;18858.056;20187.858;799.390;31.311;31.775;.000;.000
19;17755.510;17755.510;18706.524;20187.858;18753.296;20187.858;740.373;30.757;31.960;.000;.000
20;17755.510;17755.510;18706.524;20187.858;18753.296;20187.858;740.373;30.797;30.985;.000;.000
21;17755.510;17755.510;18675.033;20187.858;18737.633;20187.858;738.435;29.811;31.095;.000;.000
22;17578.867;17578.867;18658.697;20187.858;18631.491;20187.858;763.659;31.257;31.575;.000;.000
23;17578.867;17578.867;18405.326;19423.576;18369.365;19423.576;521.475;28.824;29.920;.000;.000
24;16223.231;16223.231;18405.326;19423.576;18214.292;19423.576;845.617;28.784;29.870;.000;.000
25;16223.231;16223.231;18371.150;19423.576;18202.742;19423.576;843.504;29.662;29.780;.000;.000
26;16223.231;16223.231;18179.752;19423.576;18123.109;19423.576;833.255;30.014;30.430;.000;.000
27;16223.231;16223.231;18125.806;19217.474;18041.900;19217.474;774.400;30.027;30.425;.000;.000
28;16223.231;16223.231;18050.949;19217.474;17848.088;19217.474;810.475;29.041;29.290;.000;.000
29;16223.231;16223.231;17811.554;19217.474;17767.534;19217.474;821.541;28.932;29.740;.000;.000
30;16223.231;16223.231;17578.867;19217.474;17652.748;19217.474;877.781;27.122;29.150;.000;.000
31;16223.231;16223.231;17514.589;18797.209;17541.758;18797.209;832.325;28.581;30.435;.000;.000
32;16223.231;16223.231;17132.032;18797.209;17444.516;18797.209;890.616;26.486;29.415;.000;.000
33;16223.231;16223.231;17132.032;18591.666;17413.148;18591.666;841.871;26.324;29.265;.000;.000
34;16223.231;16223.231;17049.002;18591.666;17241.704;18591.666;737.564;24.432;28.635;.000;.000
35;16223.231;16223.231;17049.002;18591.666;17236.587;18591.666;740.162;25.514;28.435;.000;.000
36;15920.090;15920.090;17049.002;18316.181;17069.355;18316.181;752.733;26.514;29.985;.000;.000
37;15694.811;15694.811;17049.002;18316.181;16929.533;18316.181;729.224;26.054;28.700;.000;.000
38;15694.811;15694.811;16653.167;18316.181;16830.407;18316.181;731.296;25.068;28.325;.000;.000
39;15694.811;15694.811;16653.167;18316.181;16780.154;18316.181;770.487;23.405;26.715;.000;.000
40;15694.811;15694.811;16542.162;18316.181;16657.044;18316.181;757.873;24.432;28.970;.000;.000
41;15694.811;15694.811;16542.162;18316.181;16657.044;18316.181;757.873;24.189;26.910;.000;.000
42;15586.364;15586.364;16465.385;18222.570;16542.060;18222.570;797.936;25.865;28.600;.000;.000
43;15586.364;15586.364;16465.385;17629.739;16433.534;17629.739;625.288;23.946;28.410;.000;.000
44;15586.364;15586.364;16465.385;17629.739;16405.969;17629.739;641.456;23.946;27.630;.000;.000
45;15586.364;15586.364;16465.385;17629.739;16405.969;17629.739;641.456;25.189;29.030;.000;.000
46;15586.364;15586.364;16465.385;17629.739;16405.969;17629.739;641.456;26.189;29.550;.000;.000
47;15586.364;15586.364;16329.540;17629.739;16331.895;17629.739;675.688;25.811;29.115;.000;.000
48;15586.364;15586.364;16329.540;17629.739;16331.443;17629.739;675.975;25.973;29.085;.000;.000
49;15501.493;15501.493;16329.540;17629.739;16321.044;17629.739;684.395;24.527;27.685;.000;.000
50;15383.365;15383.365;15995.820;17129.226;16099.596;17129.226;581.380;25.878;28.700;.000;.000
51;14787.388;14787.388;15995.820;17129.226;15998.357;17129.226;648.534;26.622;28.100;.000;.000
52;14787.388;14787.388;15943.060;17007.028;15934.204;17007.028;626.377;24.392;27.855;.000;.000
53;14787.388;14787.388;15694.811;17007.028;15779.438;17007.028;722.685;23.662;27.295;.000;.000
54;14576.509;14576.509;15692.121;16542.162;15611.813;16542.162;730.358;24.351;26.430;.000;.000
55;14576.509;14576.509;15692.121;16542.162;15611.813;16542.162;730.358;25.365;28.220;.000;.000
56;14576.509;14576.509;15692.121;16542.162;15611.813;16542.162;730.358;22.919;25.735;.000;.000
57;14576.509;14576.509;15692.121;16542.162;15608.921;16542.162;726.681;23.811;25.235;.000;.000
58;14576.509;14576.509;15692.121;16542.162;15581.930;16542.162;729.204;24.689;26.430;.000;.000
59;14502.488;14502.488;15692.121;16542.162;15522.007;16542.162;706.870;24.189;25.005;.000;.000
60;14188.473;14188.473;15692.121;16542.162;15482.958;16542.162;753.012;24.514;25.025;.000;.000
61;14188.473;14188.473;15692.121;16542.162;15482.958;16542.162;753.012;21.797;24.050;.000;.000
62;14188.473;14188.473;15692.121;16542.162;15482.958;16542.162;753.012;22.973;24.200;.000;.000
63;14188.473;14188.473;15692.121;16542.162;15482.958;16542.162;753.012;23.446;24.405;.000;.000
64;14188.473;14188.473;15463.725;16542.162;15424.224;16542.162;758.981;23.270;24.600;.000;.000
65;14188.473;14188.473;15463.725;16542.162;15371.676;16542.162;712.110;22.554;23.655;.000;.000
66;14188.473;14188.473;15463.725;16542.162;15356.916;16542.162;698.851;22.838;23.570;.000;.000
67;14188.473;14188.473;15463.725;16542.162;15354.643;16542.162;697.164;23.446;25.685;.000;.000
68;14188.473;14188.473;15463.725;16445.730;15329.272;16445.730;671.333;21.986;23.965;.000;.000
69;14188.473;14188.473;15463.725;16445.730;15300.601;16445.730;700.212;24.135;24.920;.000;.000
70;14188.473;14188.473;15463.725;16445.730;15260.998;16445.730;706.400;24.959;25.615;.000;.000
71;14188.473;14188.473;15463.725;16445.730;15229.687;16445.730;733.590;23.338;25.120;.000;.000
72;14188.473;14188.473;15135.636;16384.886;15147.430;16384.886;741.706;24.203;25.000;.000;.000
73;13240.845;13240.845;15135.636;16384.886;15024.399;16384.886;902.230;24.405;24.820;.000;.000
74;13240.845;13240.845;15135.636;16384.886;15017.556;16384.886;907.128;25.824;25.840;.000;.000
75;13240.845;13240.845;15135.636;16384.886;14987.594;16384.886;886.285;22.297;24.715;.000;.000
76;13240.845;13240.845;15135.636;16384.886;14929.605;16384.886;882.867;23.243;24.215;.000;.000
77;13240.845;13240.845;15135.636;15621.509;14757.488;15621.509;793.240;22.797;23.720;.000;.000
78;13240.845;13240.845;15135.636;15621.509;14757.488;15621.509;793.240;20.824;22.705;.000;.000
79;13240.845;13240.845;15135.636;15621.509;14757.488;15621.509;793.240;23.743;24.480;.000;.000
80;13240.845;13240.845;14914.299;15621.509;14619.143;15621.509;812.663;23.149;25.410;.000;.000
81;13240.845;13240.845;14765.513;15621.509;14574.259;15621.509;778.448;23.297;24.035;.000;.000
82;13240.845;13240.845;14765.513;15621.509;14559.152;15621.509;780.523;23.824;24.220;.000;.000
83;13240.845;13240.845;14765.513;15339.182;14530.919;15339.182;741.981;23.054;23.345;.000;.000
84;13240.845;13240.845;14765.513;15339.182;14528.418;15339.182;742.532;24.446;24.460;.000;.000
85;12927.777;12927.777;14765.513;15339.182;14443.651;15339.182;825.964;26.014;25.550;.000;.000
86;12927.777;12927.777;14765.513;15339.182;14443.651;15339.182;825.964;23.243;25.960;.000;.000
87;12927.777;12927.777;14765.513;15339.182;14431.836;15339.182;831.377;22.932;24.725;.000;.000
88;12927.777;12927.777;14765.513;15339.182;14424.586;15339.182;839.845;25.351;27.105;.000;.000
89;12927.777;12927.777;14765.513;15339.182;14424.586;15339.182;839.845;25.324;26.320;.000;.000
90;12927.777;12927.777;14765.513;15339.182;14399.024;15339.182;873.855;23.716;26.235;.000;.000
91;12045.019;12045.019;14765.513;15339.182;14310.748;15339.182;1063.090;24.324;25.830;.000;.000
92;12045.019;12045.019;14550.281;15244.435;14191.055;15244.435;1049.486;24.068;25.260;.000;.000
93;12045.019;12045.019;14550.281;15170.359;14147.344;15170.359;1022.243;23.068;25.655;.000;.000
94;12045.019;12045.019;14550.281;15170.359;14147.344;15170.359;1022.243;24.568;27.250;.000;.000
95;12045.019;12045.019;14550.281;15170.359;14127.485;15170.359;1025.322;22.851;27.000;.000;.000
96;12045.019;12045.019;14448.975;15170.359;14050.645;15170.359;968.908;24.135;27.225;.000;.000
97;11798.158;11798.158;14448.975;15170.359;14025.959;15170.359;1027.084;23.689;27.870;.000;.000
98;11798.158;11798.158;14448.975;15016.371;13971.364;15016.371;973.786;22.959;26.860;.000;.000
99;11798.158;11798.158;14174.260;15016.371;13919.037;15016.371;944.034;24.176;27.200;.000;.000
100;11798.158;11798.158;14174.260;15016.371;13919.037;15016.371;944.034;22.811;26.370;.000;.000
101;11798.158;11798.158;14174.260;15016.371;13909.951;15016.371;938.790;23.703;25.520;.000;.000
102;11798.158;11798.158;14174.260;15016.371;13909.951;15016.371;938.790;22.514;25.095;.000;.000
103;11798.158;11798.158;14174.260;15016.371;13900.833;15016.371;934.386;24.797;27.330;.000;.000
104;11798.158;11798.158;14174.260;15016.371;13900.833;15016.371;934.386;22.703;26.790;.000;.000
105;11798.158;11798.158;14174.260;15016.371;13900.833;15016.371;934.386;23.378;26.025;.000;.000
106;11798.158;11798.158;14174.260;15016.371;13883.503;15016.371;936.106;25.568;27.515;.000;.000
107;11798.158;11798.158;14174.260;15016.371;13883.503;15016.371;936.106;23.892;26.890;.000;.000
108;11798.158;11798.158;14174.260;15016.371;13883.503;15016.371;936.106;22.986;26.680;.000;.000
109;11798.158;11798.158;14156.032;15016.371;13749.496;15016.371;965.580;24.622;26.130;.000;.000
110;11798.158;11798.158;13786.369;15016.371;13659.198;15016.371;921.724;23.608;27.125;.000;.000
111;11798.158;11798.158;13786.369;15016.371;13612.472;15016.371;890.530;22.919;25.900;.000;.000
112;11798.158;11798.158;13786.369;15016.371;13612.472;15016.371;890.530;24.865;27.680;.000;.000
113;11798.158;11798.158;13786.369;15016.371;13563.222;15016.371;876.032;25.311;28.360;.000;.000
114;11798.158;11798.158;13502.503;15016.371;13511.963;15016.371;860.360;23.257;26.680;.000;.000
115;11798.158;11798.158;13502.503;15016.371;13511.963;15016.371;860.360;25.527;27.530;.000;.000
116;11798.158;11798.158;13441.458;15016.371;13504.635;15016.371;859.669;24.581;27.460;.000;.000
117;11798.158;11798.158;13390.036;15016.371;13476.914;15016.371;844.946;22.797;26.840;.000;.000
118;11798.158;11798.158;13390.036;15016.371;13476.914;15016.371;844.946;24.865;26.770;.000;.000
119;11798.158;11798.158;13390.036;15016.371;13476.914;15016.371;844.946;23.527;25.425;.000;.000
120;11798.158;11798.158;13390.036;15016.371;13476.914;15016.371;844.946;24.270;27.205;.000;.000
121;11798.158;11798.158;13390.036;15016.371;13442.817;15016.371;856.614;24.365;27.745;.000;.000
122;11798.158;11798.158;13390.036;15016.371;13442.817;15016.371;856.614;25.297;28.430;.000;.000
123;11798.158;11798.158;13390.036;15016.371;13442.817;15016.371;856.614;25.676;28.410;.000;.000
124;11798.158;11798.158;13390.036;15016.371;13442.817;15016.371;856.614;25.649;27.805;.000;.000
125;11798.158;11798.158;13390.036;15016.371;13423.417;15016.371;850.142;22.824;26.545;.000;.000
126;11798.158;11798.158;13312.551;15016.371;13255.096;15016.371;887.585;24.405;27.930;.000;.000
